Epoch,Batch,TrainLoss,Val_mAP
80,,0.09636779502034187,0.0027518928982317448
81,0,0.10637594759464264,
81,1,0.07174111157655716,
81,,0.0890585295855999,0.0027518928982317448
82,0,0.10075108706951141,
82,1,0.0716952458024025,
82,,0.08622316643595695,0.0031250000465661287
83,0,0.06971768289804459,
83,1,0.25030025839805603,
83,,0.1600089706480503,0.002862005028873682
84,0,0.10014307498931885,
84,1,0.08235400915145874,
84,,0.0912485420703888,0.0034498763270676136
85,0,0.06188620999455452,
85,1,0.21936053037643433,
85,,0.14062337018549442,0.0034405940677970648
86,0,0.06902600824832916,
86,1,0.1942196786403656,
86,,0.13162284344434738,0.0031635400373488665
87,0,0.09615921229124069,
87,1,0.04735913127660751,
87,,0.0717591717839241,0.003453213023021817
88,0,0.059621844440698624,
88,1,0.24365949630737305,
88,,0.15164067037403584,0.003391432808712125
89,0,0.10288011282682419,
89,1,0.02150336652994156,
89,,0.062191739678382874,0.003511757357046008
90,0,0.08607470989227295,
90,1,0.1580563336610794,
90,,0.12206552177667618,0.0032044141553342342
91,0,0.09425254166126251,
91,1,0.08635130524635315,
91,,0.09030192345380783,0.00322445179335773
92,0,0.10570827126502991,
92,1,0.03722350299358368,
92,,0.0714658871293068,0.003809130983427167
93,0,0.11929988861083984,
93,1,0.034104786813259125,
93,,0.07670233771204948,0.003539603902027011
94,0,0.11215031147003174,
94,1,0.036839451640844345,
94,,0.07449488155543804,0.003719943342730403
95,0,0.05461842939257622,
95,1,0.18554741144180298,
95,,0.1200829204171896,0.004066175781190395
96,0,0.10243852436542511,
96,1,0.024240845814347267,
96,,0.06333968508988619,0.004833608400076628
97,0,0.09442172199487686,
97,1,0.026365328580141068,
97,,0.060393525287508965,0.0041246190667152405
98,0,0.08412161469459534,
98,1,0.10476674884557724,
98,,0.09444418177008629,0.003867574268952012
99,0,0.07576228678226471,
99,1,0.07173396646976471,
99,,0.07374812662601471,0.003867574268952012
